Link,Link-href,Description,Date Created,Author,TextField
Kabarkada's Got Talent 2021,https://everconnect.foundever.com/everconnect/Article/Article/941311,"Open to all active associates from  Sitel Baguio, MAXhubs, PH Domestic, ANZ. Know the mech...","Friday, August 20, 2021",Rafael C,"Who Can Join: All active Sitel Baguio, MAXhubs, PH Domestic, ANZ associates
How to Join: Fill out MS Forms:  https://forms.office.com/r/dRFGc4evPV"
Digital Transformation: The Future of CX in Telecoms,https://everconnect.foundever.com/everconnect/Article/Article/1068316,"The idea of digital transformation in telecoms is neither new, nor novel. Most telecoms or...","Thursday, July 21, 2022",Lillian N,null
Empowered Voices Submission Guidelines,https://everconnect.foundever.com/everconnect/Article/Article/1071411,"When submitting a story via voices.sitel.com for Empowered Voices, please consider and adh...","Thursday, August 19, 2021",Lillian N,Empowered Voices Submission Guidelines
"Conversation at HeART in Cali, Colombia: Lots of Local Flavor",https://everconnect.foundever.com/everconnect/Article/Article/1142761,"The outside of the CX hub in Cali, Colombia is home to our next piece of Conversation at H...","Tuesday, August 9, 2022",Lillian N,"Conversation at HeART in Cali, Colombia: Lots of Local Flavor"
EthicsPoint Reminder: Q&A,https://everconnect.foundever.com/everconnect/Article/Article/1233743,"EthicsPoint is a confidential reporting tool that allows employees, vendors, contractors a...","Friday, August 12, 2022",Lillian N,EthicsPoint Reminder: Q&A
300 Tarlac Associates Get First COVID-19 Vaccine Doses,https://everconnect.foundever.com/everconnect/Article/Article/1228471,"""Get the vaccine to protect yourself and to protect the people around you, especially your...","Thursday, September 2, 2021",Rafael C,Photo courtesy of Jennifer Vargas
"My Sitel Life Story: With Grit and Faith, HR Generalist Embraces Change",https://everconnect.foundever.com/everconnect/Article/Article/1217214,"""I can't be stuck. I need to move forward.""","Thursday, September 2, 2021",Rafael C,Photo courtesy of CJ Peña
SitelFit Reader (30 August - 5 September),https://everconnect.foundever.com/everconnect/Article/Article/1240168,A weekly digest of the most interesting wellness articles by SitelFit,"Thursday, September 2, 2021",Dimiter P,You need to be logged in the United Heroes environment to read some of the articles.
MAXConnect Monthly: August,https://everconnect.foundever.com/everconnect/Article/Article/1208854,Welcome to the second edition of MAXConnect Monthly: a global communication.,"Wednesday, July 27, 2022",Lillian N,MAXConnect Monthly
"MAX PH Awards Q2 Outstanding Members, Baguio Hailed as Best Site",https://everconnect.foundever.com/everconnect/Article/Article/1241154,Members of the My Associate Experience (MAX) Philippines on August 27 recognized its outst...,"Thursday, September 2, 2021",Rafael C,null
WELead Execs to Tackle Female Misogyny at Panel Discussion,https://everconnect.foundever.com/everconnect/Article/Article/1239978,Female misogyny is a type of prejudice against women that is perpetrated by other women.,"Thursday, September 2, 2021",Rafael C,"(L-R) Cristina Gonzales-Pierson, Leadership Development Manager at Sitel Palawan; and Pamela Donato, Vice President of Human Resources - PHANZ and WELead Philippines Executive Sponsor"
The Power of Giving Back,https://everconnect.foundever.com/everconnect/Article/Article/1227796,"Learn how our collaboration with World Learning during the 2021 Step Forward, Give Back Ch...","Friday, September 3, 2021",Dimiter P,
"Meet Sabrina: ""Set realistic goals, depending on your motivation""",https://everconnect.foundever.com/everconnect/Article/Article/1253576,"An extraordinary motivation and discipline: get inspired by Sabrina Rew, a Powerlifting ch...","Friday, September 3, 2021",Dimiter P,
New Sitel Group® Organizational Announcement - Executive Leadership & Operations,https://everconnect.foundever.com/everconnect/Article/Article/1259895,Global organizational announcement for Executive team and Operations.,"Wednesday, August 3, 2022",Rebecca S,"Dear Sitel Group® Leaders,"
SitelFit Weekly Challenges (September: Week 2),https://everconnect.foundever.com/everconnect/Article/Article/1276019,Join the new SitelFit challenges this week for a healthier body and mind!,"Monday, September 6, 2021",Dimiter P,null
Join these Maxicare Webinars on Suicide Prevention and COVID-19 in Children,https://everconnect.foundever.com/everconnect/Article/Article/1317633,Webinar dates:  September 10 and  17.,"Thursday, September 9, 2021",Rafael C,"Date and Time: Sept. 17, 2021 at 5 PM
Speaker: Dr. Anna Lisa T. Ong-Lim
Registration Link: COVID-19 in Children"
SitelFit Reader (6-12 September),https://everconnect.foundever.com/everconnect/Article/Article/1317594,A weekly digest of the most interesting wellness articles by SitelFit,"Thursday, September 9, 2021",Dimiter P,
Laid-off Coach Deals with Depression by Creating Funny Call-center Life Videos,https://everconnect.foundever.com/everconnect/Article/Article/1323436,"Renz's videos will send you rolling with laughter, but their origins aren't the most fun","Thursday, September 9, 2021",Rafael C,Photo courtesy of Renz Larios
Protecting Paradise:  Sitel® Palawan Teams Up With Local Government to Safeguard El Nido's Natural Environment,https://everconnect.foundever.com/everconnect/Article/Article/1319485,Our Sitel Palawan kabarkadas traded their headsets for life vests to preserve El Nido's br...,"Thursday, September 9, 2021",Rafael C,null
ITSMC Programming Requests,https://everconnect.foundever.com/everconnect/Article/Article/797154,Need to create or update an existing report ?  Here's help on getting a COR Programming re...,"Wednesday, July 20, 2022",Gavin L,null
ITSMC Developer Time Entry,https://everconnect.foundever.com/everconnect/Article/Article/943030,Some guidance for all Sitel Programmers on Time Entry,"Wednesday, July 20, 2022",Gavin L,null
Data Management Articles,https://everconnect.foundever.com/everconnect/Article/Article/1341198,Placeholder for unpublished articles,"Monday, September 20, 2021",Gavin L,
SitelFit Weekly Challenges (September: Week 3),https://everconnect.foundever.com/everconnect/Article/Article/1354499,Join the new SitelFit challenges this week for a healthier body and mind!,"Monday, October 25, 2021",Dimiter P,null
Shopee's Payday Sale  (September 15),https://everconnect.foundever.com/everconnect/Article/Article/1359867,"Registration open until noon, September 14 only.","Monday, September 13, 2021",Rafael C,"1. Generic sitewide offer for Payday Sale - 15% off Sitewide, P600 min spend, P150 cap
2. Exclusive offers pre-loaded to employees' Shopee accounts: -Up to 50% cashback on bills payment (50% for new digital buyers 20% for existing buyers)"
"Introducing Tala, Our New MAXConnect Chatbot",https://everconnect.foundever.com/everconnect/Article/Article/1368744,"Hi, I'm Tala! Got questions on your benefits, payroll, etc.? Talk to me!","Wednesday, September 15, 2021",Rafael C,"I am the digital personal of Sitel® Philippines. You will find me across our internal digital channels, including MAXConnect and Viber, answering your questions about the Sitel Life and more. Want to know about your health benefits? Need help on filing a leave? Talk to me!"
Discover Meditation,https://everconnect.foundever.com/everconnect/Article/Article/1383518,Let's dive deeper into the different practices of mindfulness meditation,"Tuesday, January 25, 2022",Dimiter P,
SitelFit - Dance your Way to Fitness,https://everconnect.foundever.com/everconnect/Article/Article/1387402,"Show us how you move it and destress and get a chance to win up to Php15,000 worth of good...","Monday, September 20, 2021",Rafael C,Mechanics
200+ Sitel® Baguio Associates Get First COVID-19 Vaccine Shots,https://everconnect.foundever.com/everconnect/Article/Article/1399095,Sitel Baguio has partnered with the Baguio City government and the local office of the Phi...,"Friday, September 17, 2021",Rafael C,Photo courtesy of Marifi Soriano
"Sitel® Baguio Associates Train Under Red Cross, to Form First Aid Team",https://everconnect.foundever.com/everconnect/Article/Article/1398797,The Red Cross emphasized the value of families and companies having members and employees ...,"Thursday, September 16, 2021",Rafael C,null
SitelFit Reader (13-19 September),https://everconnect.foundever.com/everconnect/Article/Article/1398898,A weekly digest of the most interesting wellness articles by SitelFit,"Thursday, September 16, 2021",Dimiter P,You need to be logged in the United Heroes environment to read some of the articles.
Someone's Joining Us on MAX Week,https://everconnect.foundever.com/everconnect/Article/Article/1403471,Know them here,"Monday, September 20, 2021",Rafael C,
EverBetter Onboarding,https://everconnect.foundever.com/everconnect/Article/Article/1410676,Find the all the information necessary to onboard new EverBetter members in one place,"Wednesday, March 1, 2023",Dimiter P,One of the main ways to have a thriving EverBetter program is to have it embedded in the Associate Experience from Day One. That is why it is very important that it is well presented and explained to new hires during their induction and onboarding period.
SitelFit Recipes: Matki/Moth Chaat,https://everconnect.foundever.com/everconnect/Article/Article/1414360,Take a look at this delicious and healthy recipe suggested by Nisha Ahuja from Sitel India,"Friday, September 17, 2021",Dimiter P,
Internal Audit Services,https://everconnect.foundever.com/everconnect/Article/Article/1399035,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Wednesday, July 27, 2022",Ianlee O,null
Internal Audit,https://everconnect.foundever.com/everconnect/Article/Article/1415100,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Wednesday, July 27, 2022",Ianlee O,null
SitelFit Weekly Challenges (September: Week 4),https://everconnect.foundever.com/everconnect/Article/Article/1435297,Join the new SitelFit challenges this week for a healthier body and mind!,"Monday, September 20, 2021",Dimiter P,null
How to report something?,https://everconnect.foundever.com/everconnect/Article/Article/1440830,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Wednesday, August 10, 2022",CHOUKRI E,null
Information Required When Contacting the Service Desk,https://everconnect.foundever.com/everconnect/Article/Article/1440708,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Wednesday, August 10, 2022",CHOUKRI E,When an incident is raised via the phone or request for change is raised via email the following information is required to enable efficient and effective processing and resolution. Please be prepared to provide this when raising a call or include it in any email correspondence
Meet Team : ITSD,https://everconnect.foundever.com/everconnect/Article/Article/1441748,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Wednesday, August 10, 2022",CHOUKRI E,
Requesting Exempt Vacation through SuccessFactors,https://everconnect.foundever.com/everconnect/Article/Article/1450502,Requesting Exempt Vacation through SuccessFactors,"Friday, August 12, 2022",Amy D,null
Assigning an Auto-Delegate for Approvals in SuccessFactors,https://everconnect.foundever.com/everconnect/Article/Article/1450890,Assigning an Auto-Delegate for Approvals in SuccessFactors,"Thursday, December 22, 2022",Amy D,3.  Click on Auto Delegate
Digital Content Creation Guide,https://everconnect.foundever.com/everconnect/Article/Article/1585833,Digital Content Creation Made Easy!,"Friday, August 12, 2022",Lourdes B,A curated list of link sources where you can find the information you need for digital content creation. (Please download the PDF file at the bottom to get access to the links).
Virtual Races 2021,https://everconnect.foundever.com/everconnect/Article/Article/1625571,We are launching the first Global Virtual Races in October! Take a closer look at the init...,"Thursday, October 28, 2021",Dimiter P,To learn more about the initiative find the presentation deck attached below and watch the recording from the kick-off session with the local wellbies.
MAXConnect Architects,https://everconnect.foundever.com/everconnect/Article/Article/1501045,Everything you need to know about MAXConnect Architects!,"Tuesday, February 14, 2023",Benjamin H,null
Creating Articles in MAXConnect Create,https://everconnect.foundever.com/everconnect/Article/Article/1467059,A comprehensive tutorial on creating great articles in MAXConnect Create!,"Tuesday, July 26, 2022",Benjamin H,null
Account Management Overview,https://everconnect.foundever.com/everconnect/Article/Article/1589225,About Account Management,"Friday, August 12, 2022",Marlon R,null
ITSMC Service Desk Ticket for Kronos,https://everconnect.foundever.com/everconnect/Article/Article/1485268,The Global IT Service Desk is provided to the business as a single and first point of cont...,"Tuesday, December 27, 2022",Leslie Anne Rose M,null
Requesting for Kronos Manager License,https://everconnect.foundever.com/everconnect/Article/Article/1391985,Requesting for Kronos Manager License,"Tuesday, December 27, 2022",Leslie Anne Rose M,null
Creating Kronos Programming Request,https://everconnect.foundever.com/everconnect/Article/Article/1484968,"If you need to request a new setup or change of Kronos Configuration, please raise a progr...","Tuesday, July 26, 2022",Leslie Anne Rose M,null
A Global & Diverse Team,https://everconnect.foundever.com/everconnect/Article/Article/1588830,A glimpse at the great people that make our AM community,"Wednesday, July 27, 2022",Marlon R,null
COR Data Management (Mapping),https://everconnect.foundever.com/everconnect/Article/Article/1063868,A Self Service tool that facilitates the COR team in providing accurate reporting for Site...,"Friday, August 12, 2022",Gavin L,null
CSR Leads APAC,https://everconnect.foundever.com/everconnect/Article/Article/1501346,"India, New Zealand & Philippines","Monday, August 8, 2022",Catherine T,null
CSR Leads Americas,https://everconnect.foundever.com/everconnect/Article/Article/1501506,"Brazil, Canada, Colombia, Mexico, Nicaragua, Panama, and United States","Monday, August 8, 2022",Catherine T,null
How to raise a purchase request,https://everconnect.foundever.com/everconnect/Article/Article/1690318,Raising a Purchase Request,"Friday, October 1, 2021",Jose G,null
The Sitel® MAX Day Talk Show,https://everconnect.foundever.com/everconnect/Article/Article/1345794,"Open to everyone! Join us Friday, October 1 at 11 a.m. ET","Saturday, October 2, 2021",Dimiter P,Join CMO Martin Wilkinson-Brown and NA Communications Manager Auburn Smith for our Sitel® MAX Day Talk Show to celebrate the second anniversary of Sitel® MAX (My Associate Experience).
Sitel® MAX Week UX | MAXConnect Communities,https://everconnect.foundever.com/everconnect/Article/Article/1459958,Help us define the ideal architecture of this new feature of MAXConnect,"Monday, October 4, 2021",Dimiter P,We are currently working on a new module for MAXConnect - Communities!
Associate Advisory | Deadlines of Submission of Event Requirements,https://everconnect.foundever.com/everconnect/Article/Article/1749038,"With the incoming ""season of events"", the Procurement Department encourages everyone to fi...","Monday, October 4, 2021",Rafael C,"To:  Sitel® Philippines Associates
From: Joel Anglo, Head of Procurement
Date: October 4, 2021
Subject: Deadlines of Submission of Event Requirements"
SitelFit October Program,https://everconnect.foundever.com/everconnect/Article/Article/1741436,Take a look at our SitelFit program in October!,"Monday, October 4, 2021",Dimiter P,"Anyway, it's officially FALL and we are feeling that new energy. Get ready to close out the year strong!"
Organizational Announcement - Information Technology Leadership,https://everconnect.foundever.com/everconnect/Article/Article/1757678,Announcing our new global IT organization.,"Wednesday, August 3, 2022",Rebecca S,"Dear Sitel Group®,"
CSR Leads EMEA,https://everconnect.foundever.com/everconnect/Article/Article/1420471,"Bulgaria, Denmark, France, Germany, Morocco, Ivory Coast, Netherlands, Poland, Serbia, Spa...","Monday, August 8, 2022",Catherine T,null
Sitel MAX Application 2021,https://everconnect.foundever.com/everconnect/Article/Article/1640283,Join our Global Community and connect with other associates around the world. You will dev...,"Tuesday, August 9, 2022",Amine A,
Business Objects,https://everconnect.foundever.com/everconnect/Article/Article/1754942,One of Sitel's reporting tools backed by the data warehouse.,"Friday, August 12, 2022",Gavin L,null
SitelFit Checklist - October,https://everconnect.foundever.com/everconnect/Article/Article/1790485,"A list of chill, relaxing and exciting things to do this month","Wednesday, October 6, 2021",Dimiter P,
How Watercolors Teach a Palawan Associate to 'Trust the Process',https://everconnect.foundever.com/everconnect/Article/Article/1822203,"Ron Edrada has been making art since childhood, inspired by the natural beauty of his home...","Thursday, October 7, 2021",Rafael C,Photo courtesy of Ron Edrada
Sitel Group® Client Named 'America's Best Customer Service' by Newsweek,https://everconnect.foundever.com/everconnect/Article/Article/1831045,"This is the fourth time in a row Zenni Optical ranked first, the first time being the 2019...","Thursday, October 7, 2021",Rafael C,Photo courtesy of Robert Tamondong
Spinning Session with Sitel Africa,https://everconnect.foundever.com/everconnect/Article/Article/1829734,"Open to all! Join us Saturday, October 9, at 1 p.m. ET","Thursday, October 7, 2021",Dimiter P,"If you want to work on endurance, regular maintenance and fitness at the same time, join us this Saturday, October 9, at 1 p.m. ET via Zoom (https://sitel.zoom.us/j/5775780727)."
GLOBAL PROCUREMENT POLICY (GPP),https://everconnect.foundever.com/everconnect/Article/Article/534611,Sitel Group GLOBAL PROCUREMENT POLICY,"Monday, November 7, 2022",Jayendra T,null
Hungary Welcomes Sitel® MAX,https://everconnect.foundever.com/everconnect/Article/Article/1841831,Take a look at how the legacy SYKES team in Hungary kicked off MAX Week,"Friday, August 5, 2022",Dimiter P,"It was time to have some cakes and gather calories as the local team launched an initiative to collect 10,000 points within a week as part of the SitelFit program."
"NCR | Associate Advisory | Annual Physical Exam (APE) 2021: Schedule, Guidelines and Frequently Asked Questions",https://everconnect.foundever.com/everconnect/Article/Article/1816775,"As part of our continuing efforts to promote the health and wellness of our associates, we...","Friday, October 8, 2021",Rafael C,"To:  Sitel® Technopoint, OJV, Pioneer and Eton Associates
From:  HR Benefits Team
Date:  October 8, 2021
Subject:  Annual Physical Exam (APE) 2021: Schedule, Guidelines and Frequently Asked Questions"
MAXConnect Advanced Language Pack,https://everconnect.foundever.com/everconnect/Article/Article/1618558,Our new translation options!,"Tuesday, July 26, 2022",Kim H,null
SitelFit Reader (4-10 October),https://everconnect.foundever.com/everconnect/Article/Article/1845217,A weekly digest of the most interesting wellness articles by SitelFit,"Friday, October 8, 2021",Dimiter P,
Approving Assigned Requests,https://everconnect.foundever.com/everconnect/Article/Article/1851779,Approving Assigned Requests,"Friday, October 8, 2021",Amy D,null
Running Reports,https://everconnect.foundever.com/everconnect/Article/Article/1851888,Running Reports,"Friday, October 8, 2021",Amy D,null
Updating Monthly Paid Associates Hours and Salary in SuccessFactors,https://everconnect.foundever.com/everconnect/Article/Article/1851986,Updating Monthly Paid Associates Hours and Salary in SuccessFactors,"Friday, August 12, 2022",Amy D,null
SitelFit Weekly Challenges (October: Week 2),https://everconnect.foundever.com/everconnect/Article/Article/1862551,Join the new SitelFit challenges this week for a healthier body and mind!,"Monday, October 11, 2021",Dimiter P,null
Meet the Business Information Security Team!,https://everconnect.foundever.com/everconnect/Article/Article/1448753,Please meet the wonderful members of the BISO team!,"Wednesday, March 1, 2023",Cheri B,null
IT Playbook - Complete Reinstall of SRW AWS ver 5/20/2022,https://everconnect.foundever.com/everconnect/Article/Article/1955840,Complete Reinstall of SRW AWS,"Monday, October 24, 2022",Isaac M,null
IT Playbook - Format and Re-image Ubuntu USB  - *Deprecated*,https://everconnect.foundever.com/everconnect/Article/Article/1958586,Format Ubuntu USB using Partdisk,"Monday, October 24, 2022",Isaac M,null
IT Playbook - How to prepare a blank USB flash drive for Work at Home - *Deprecated*,https://everconnect.foundever.com/everconnect/Article/Article/1959119,How to prepare a blank USB flash drive for Work at Home,"Monday, October 24, 2022",Isaac M,null
IT Playbook - How to change default windows programs:,https://everconnect.foundever.com/everconnect/Article/Article/1964278,Default programs,"Monday, October 24, 2022",Isaac M,null
IT Playbook - How to properly log off your Sitel desktop for ALL campaigns,https://everconnect.foundever.com/everconnect/Article/Article/1964358,Sign out,"Monday, October 24, 2022",Isaac M,null
SitelFit around the World: Welcome to the Philippines,https://everconnect.foundever.com/everconnect/Article/Article/1964699,Join our session on November 11 to learn more about SitelFit in the Philippines,"Thursday, October 21, 2021",Dimiter P,
Sitel Group® Internal Application & Hiring Process,https://everconnect.foundever.com/everconnect/Article/Article/1958858,Learn more regarding our integration process.,"Wednesday, August 10, 2022",Rebecca S,This content was automatically translated; you can help improve the quality by reporting issues using the translate error form in the footer. Together we can build the future!
Global Security Procedures,https://everconnect.foundever.com/everconnect/Article/Article/1505031,Instruction on Global  Security procedures.,"Saturday, January 28, 2023",Jayendra T,
IT Playbook - How to Use Jump Box,https://everconnect.foundever.com/everconnect/Article/Article/1966021,Jump box,"Monday, October 24, 2022",Isaac M,null
Two New PMO Job Positions Open,https://everconnect.foundever.com/everconnect/Article/Article/1968901,There are two new positions available in the PMO space within Sitel Group!,"Thursday, October 21, 2021",Lillian N,null
IT Playbook - Intuit Password Reset Tool,https://everconnect.foundever.com/everconnect/Article/Article/1969759,Intuit Password Reset,"Monday, October 24, 2022",Isaac M,null
SitelFit Wears Pink in October,https://everconnect.foundever.com/everconnect/Article/Article/1975999,Learn how you can get involved during Breast Cancer Awareness Month,"Friday, October 22, 2021",Dimiter P,
IT Playbook - Set time on OPS Workspace for Ubuntu USB,https://everconnect.foundever.com/everconnect/Article/Article/1980622,How set the time on the desktop on AWS.,"Monday, October 24, 2022",Isaac M,null
Spooktacular 2021: Project Fantasy Cosplay Contest,https://everconnect.foundever.com/everconnect/Article/Article/1982720,Dress up as an epic fantasy character on Halloween and get a chance to win e-giftaways.,"Thursday, October 28, 2021",Rafael C,MECHANICS:
IT Playbook - Troubleshooting latency,https://everconnect.foundever.com/everconnect/Article/Article/1985059,Troubleshooting latency,"Monday, October 24, 2022",Isaac M,null
Palawan Operations Manager Track Trainee,https://everconnect.foundever.com/everconnect/Article/Article/2003669,"Are you a strategic thinker who can deliver on client's expectations, as well as a coach w...","Monday, October 25, 2021",Rafael C,Location: Palawan
Long-Term Visitor Admission Process for Legacy Sitel Group® Sites and Legacy SYKES Sites,https://everconnect.foundever.com/everconnect/Article/Article/2010367,"To make visits more efficient, we are providing associates with long-term visitor badges. ...","Monday, November 29, 2021",Ailena Marie M,"To:  All Sitel® Philippines Associates
From: The Security Team
Date:  October 25, 2021
Subject: Long-Term Visitor Admission Process for Legacy Sitel Group® Sites and Legacy SYKES Sites"
AM - Account Manager,https://everconnect.foundever.com/everconnect/Article/Article/2011884,The Account Manager is the primary client's day-to day service delivery point of contact.,"Friday, January 27, 2023",Elisa N,"The Account Manager is the primary client’s day-to day service delivery point of contact. Responsibilities include developing strong relationships with the client, connecting with key business stakeholders. They will respond to client queries and ensure implementations are deployed according to the plan. The Account Manager should ensure aligned Account Strategy and delivery to it across all areas of the business and relationship. They are the subject matter expert for product, policies, operations, quality, training, reporting and IT. The Account Manager should also understand the customer thoroughly, their strategy, their organization, company culture, pain points and needs, especially the not-so-obvious ones, and proactively offer win solutions to address and exceed the needs of the client."
AM - Account Director,https://everconnect.foundever.com/everconnect/Article/Article/2012410,"The Account Director is the owner of a logo, and manages a team of Account Managers.","Wednesday, August 10, 2022",Elisa N,Other:
AM - Account VP,https://everconnect.foundever.com/everconnect/Article/Article/2012517,"The Account VP is owner of a portfolio of logos, and manages a team of Account Directors, ...","Wednesday, August 10, 2022",Elisa N,Other:
SitelFit Weekly Challenges (October: Week 4),https://everconnect.foundever.com/everconnect/Article/Article/2007372,Join the new SitelFit challenges this week for a healthier body and mind!,"Monday, November 15, 2021",Dimiter P,null
CI - Continuous Improvement Analyst,https://everconnect.foundever.com/everconnect/Article/Article/2016918,The CI Analyst understands and uses data to identify and realise potential opportunities t...,"Monday, October 3, 2022",Elisa N,The CI Analyst should be highly engaged and hands on in the area of defining and realizing the joint Sitel and client vision of service excellence. The CI Analyst understands and uses data to identify and realise potential opportunities to improve our clients service.
IT Playbook - Video settings in the Ubuntu stick and Amazon Workspaces - *Deprecated*,https://everconnect.foundever.com/everconnect/Article/Article/2017245,Video settings in the Ubuntu stick and Amazon Workspaces,"Monday, October 24, 2022",Isaac M,null
MAXBot Update 27/10/21,https://everconnect.foundever.com/everconnect/Article/Article/2060703,Check out the latest update on everything MAXBot!,"Thursday, July 7, 2022",Benjamin H,null
IT Playbook - How to test for latency in AWS  (Contingency only),https://everconnect.foundever.com/everconnect/Article/Article/1964882,How to test for latency in AWS (Contingency only),"Monday, October 24, 2022",Isaac M,null
"Meet Borislav: ""Running is the Easiest Way to Get Rid of Stress""",https://everconnect.foundever.com/everconnect/Article/Article/2065159,Borislav Stoynev from the EMEA Social Media Hub has been doing sports all his life. Runnin...,"Saturday, October 30, 2021",Dimiter P,"Just one day left until the start of the first-ever Virtual Races for the SitelFit community. This new global challenge allows you to choose to either walk or run 5K, 10K or 15K in one occasion in the period between October 29 (6 a.m.) and November 1 (23:59 p.m.)."
5 Steps to Lower the Risk of Breast Cancer,https://everconnect.foundever.com/everconnect/Article/Article/1975280,"Helpless to prevent breast cancer? Actually, quite a bit is in your control.","Thursday, October 28, 2021",Dimiter P,null
SitelFit Reader (25-31 October),https://everconnect.foundever.com/everconnect/Article/Article/2070071,A weekly digest of the most interesting wellness articles by SitelFit,"Thursday, October 28, 2021",Dimiter P,
PH LD Upskilling PAK for Manager Level - Q4 2021,https://everconnect.foundever.com/everconnect/Article/Article/2070744,The PH Acceleration Kit (PAK) is one of PH Leadership Development's upskilling course offe...,"Thursday, October 28, 2021",Ailena Marie M,"The PH Acceleration Kit (PAK) is one of PH Leadership Development's upskilling course offers for 2021. This is a collection of themed courses targeted to upskill confirmed supervisors and managers.  The Manager PAK for this quarter is open to confirmed managers from all departments. It will cover the following series – Presentations, Level Up Coaching and Leadership and each course will be offered in 2 schedules: AM (5 p.m.  to 7 p.m.) and PM (11 p.m to 1 a.m.) and facilitated by a specific LDM."
"Sitel® Palawan Manager Begins with  Modest Health Goal, then Gets More",https://everconnect.foundever.com/everconnect/Article/Article/2069685,"""Reality is I'm not getting any younger and the proven way to stay healthy despite getting...","Thursday, October 28, 2021",Rafael C,Photo courtesy of Jerome Rubico
IT Playbook - Using Adobe Connect in AWS,https://everconnect.foundever.com/everconnect/Article/Article/2013706,Adobe Connect,"Monday, October 24, 2022",Isaac M,null
OJV-TP & Eton Quality Analyst Apprentice,https://everconnect.foundever.com/everconnect/Article/Article/2084215,Would you like to train for a role that helps associates deliver excellent customer servic...,"Friday, October 29, 2021",Rafael C,Position: Quality Analyst Apprentice
Special IT Town Hall - Technology Consolidation Roadmap,https://everconnect.foundever.com/everconnect/Article/Article/2079940,Learn more from the IT leadership team on the go-forward plan on integrating between legac...,"Friday, August 12, 2022",Rebecca S,null
"Meet Roy: ""Hiking Allows Me to Reconnect with Nature""",https://everconnect.foundever.com/everconnect/Article/Article/2098386,Roy Hille from Sitel Denmark has been hiking since he learned to walk. Read more about his...,"Saturday, October 30, 2021",Dimiter P,"The first-ever Virtual Races have started! You have time until November 1 (23:59 p.m.) to either walk or run 5K, 10K or 15K to show what you're made of and take your wellness journey to the next level. It is also a great way to welcome our new Legacy SYKES co-workers."
Top 3 Most Engaged SitelFit EMEA Members in Q3,https://everconnect.foundever.com/everconnect/Article/Article/2100530,Join us in recognizing and congratulating our Top 3 Most Engaged SitelFit members in the E...,"Wednesday, August 10, 2022",Dimiter P,
SitelFit Around the World: Welcome to the Philippines,https://everconnect.foundever.com/everconnect/Article/Article/2297333,"The second episode of the series ""SitelFit Around the World"" was dedicated to the SitelFit...","Friday, November 12, 2021",Dimiter P,"The second episode of our quarterly series ""SitelFit Around the World"" was dedicated to the way the SitelFit program is implemented in the Philippines."
"Organizational Announcement - AmeriPac Sales, Solutions Bid Management & Marketing",https://everconnect.foundever.com/everconnect/Article/Article/2289710,Learn about the new organization as of November 2021.,"Wednesday, August 3, 2022",Rebecca S,"I’m delighted to announce my updated organizational structure to you for AmeriPac Sales, Solutions, Bid Management and Regional Marketing. As we have come together as one team, we are ready to sell and deliver for our customers across the globe."
A Year in Kindness: A Look-back on the Sitel® Barkada's Community Outreach Activities,https://everconnect.foundever.com/everconnect/Article/Article/2303235,"For World Kindness Day, we revisit the moments the Sitel® Barkada gave love to their commu...","Friday, November 12, 2021",Rafael C,"Measuring things is one of the fields that we’re very good at. We can tell how well we do at work through our key performance indicators, for instance. For World Kindness Day, which we’re celebrating on November 13, we are doing something different: measure the year not in terms of business targets met but, as Season of Love’s lyricist says, how much love we’ve given others. And based on our review of the community outreach and calamity relief activities we’ve done in the past months, we have given away a lot. Here are some those acts of kindness done by kabarkadas across the Philippines:"
Sitel® Eton Associates Offer 'Solace' to Needy Kids,https://everconnect.foundever.com/everconnect/Article/Article/2284583,More than 80 infants and toddlers living in a charitable institution will soon receive gif...,"Wednesday, November 17, 2021",Rafael C,Photo courtesy of Gel Balantac
Sitel Group® Completes Acquisition of  SYKES,https://everconnect.foundever.com/everconnect/Article/Article/1237296,Learn about the acquisition and see our Day 1 Communications Package.,"Tuesday, August 9, 2022",Rebecca S,null
SitelFit Weekly Challenges (November: Week 3),https://everconnect.foundever.com/everconnect/Article/Article/2325501,Join the new SitelFit challenges this week for a healthier body and mind!,"Monday, November 15, 2021",Dimiter P,null
FIN - Local Procurement Manager,https://everconnect.foundever.com/everconnect/Article/Article/2330201,The Local Procurement Manager is in charge of deploying and executing sourcing strategies ...,"Thursday, July 21, 2022",Elisa N,"The Local Procurement Manager acts with the highest degree of professionalism, integrity & ethics in the administration and operation of the procurement function."
Associate Advisory | Enrollment of Members' Dependents to the HMO Program,https://everconnect.foundever.com/everconnect/Article/Article/2327256,Part of the enrollment process is the enrollment of associates' (principal) dependents to ...,"Monday, November 15, 2021",Rafael C,"To:  All Sitel® Philippines Associates
From:  HR Benefits Team
Date:  November 15, 2021
Subject: Enrollment of Members’ Dependents to the HMO Program"
