Link,Link-href,Description,Date Created,Author,TextField
MAXConnect Dashboard Update Week 13,https://everconnect.foundever.com/everconnect/Article/Article/7582802,A weekly update where we take a look at the latest figures from the MAXConnect Dashboard,"Thursday, July 7, 2022",Benjamin H,null
A Guide to GOS Codes & User Levels,https://everconnect.foundever.com/everconnect/Article/Article/7556476,GOS Codes and User Levels are high level job classes which help us to understand associate...,"Tuesday, August 2, 2022",Kim H,null
Internal Communications and Employee Engagement best practices - March 2022,https://everconnect.foundever.com/everconnect/Article/Article/7441487,Internal Communications and Employee Engagement best practices - March 2022,"Tuesday, August 2, 2022",Istvan K,null
Global Security Assurance: IT Asset Management Team,https://everconnect.foundever.com/everconnect/Article/Article/7513900,The IT Asset Management team has big plans for integrating the legacy companies' SAM and H...,"Wednesday, March 1, 2023",Cheri B,"The IT Asset Management (ITAM) team exists within the Global Security Assurance department and has a broad range of responsibilities. They ensure automation of data controls, governance, risk and compliance activities as well as provide enterprise visibility. They collaborate with internal stakeholders, Procurement and Contract Management to ensure licenses are tracked, the software catalog remains current and products are certified when necessary. The ITAM team also maintains good working relationships with software vendors during license compliance audits and develops internal relationships with Sourcing, Procurement, Vendor Management, Legal and Finance advisors to stay in tune with organizational changes."
Variation Based Management,https://everconnect.foundever.com/everconnect/Article/Article/7612364,Consistent usage of VBM and/or regular KPI impact analysis and management through iCoach i...,"Thursday, May 12, 2022",Maria M,null
Budapest Huawei account team winning Excellent Service Partner Award 2021 🍾👏🏆,https://everconnect.foundever.com/everconnect/Article/Article/7713386,Budapest Huawei account team winning Excellent Service Partner Award 2021 🍾👏🏆,"Tuesday, August 2, 2022",Istvan K,
"""Explore"": United Heroes by SitelFit Has a Brand-New Feature",https://everconnect.foundever.com/everconnect/Article/Article/7714908,"Yoga, abs, full body... Check out the new selection of on-demand training sessions availab...","Saturday, April 9, 2022",Dimiter P,"In April, the ""Magazine"" section of the United Heroes app by SitelFit is evolving and becomes ""Explore"" - a monthly selection of themes and exclusive content to accompany you in your wellness journey on a daily basis."
PMO Implementation Process,https://everconnect.foundever.com/everconnect/Article/Article/6236964,Overview of the PMO 9 Step Process,"Wednesday, March 1, 2023",Johnathan C,null
PMO Global Team,https://everconnect.foundever.com/everconnect/Article/Article/7288351,Meet the GLOBAL team,"Thursday, November 17, 2022",Johnathan C,null
"Organizational Announcement - Welcome Corinne Suné, Head of Global Corporate Compliance & Sustainability",https://everconnect.foundever.com/everconnect/Article/Article/7724133,Welcome to our new Global Head of Corporate Compliance & Sustainability,"Tuesday, April 12, 2022",Rebecca S,"Dear Sitel Group Leaders,"
Multi Factor Authentication (MFA) will be activated for all O365 users on the Legacy SYKES side,https://everconnect.foundever.com/everconnect/Article/Article/7734785,MFA activation will be gradual over the coming weeks.,"Tuesday, April 12, 2022",Gloria I,null
"Kronos Downtime - April 11, 2022",https://everconnect.foundever.com/everconnect/Article/Article/7735183,Kronos Downtime RFC# 240180,"Tuesday, July 26, 2022",Leslie Anne Rose M,null
Enjoy discounts on Shopee's April 15 PayDay Sale,https://everconnect.foundever.com/everconnect/Article/Article/7771850,Save lots when you add to cart!,"Monday, April 11, 2022",Ailena Marie M,"Exclusive offers pre-loaded to employees' Shopee accounts: 
1. Up to 50% Bills Cashback
2. 15% Load Cashback
3. 15% Off Sitewide"
Become a Future Quality Analyst,https://everconnect.foundever.com/everconnect/Article/Article/7771953,"We are looking for new Quality Analysts for this year as we learn, lead and grow in Sitel®...","Monday, April 11, 2022",Rafael C,"We are looking for new Quality Analysts for this year as we learn, lead and grow in Sitel® Philippines. Join the Quality Analyst Track Training Program"
SitelFit Weekly Challenges (April: Week 2),https://everconnect.foundever.com/everconnect/Article/Article/7769837,Join the new SitelFit challenges this week for a healthier body and mind!,"Tuesday, April 12, 2022",Dimiter P,null
MAX Beat Survey,https://everconnect.foundever.com/everconnect/Article/Article/7774566,Your answers will help Sitel® Philippines leaders to craft policies that provide associat...,"Wednesday, April 13, 2022",Rafael C,"MAX Beat questions will touch on topics like associate engagement, supervisors and managers, and career development. Your answers will help Sitel® Philippines leaders to craft programs that provide associates only the best workplace experience. Your identity, however, will be kept confidential and responses will be reported to leaders as a summary."
EXP+ Empower: Learning Needs Analysis,https://everconnect.foundever.com/everconnect/Article/Article/7786952,A Learning needs analysis is one of the best ways to make sure your training program is pe...,"Friday, August 12, 2022",Lourdes B,
Sitel® Philippines Works Together to Invest in Our Planet,https://everconnect.foundever.com/everconnect/Article/Article/8206117,Sitel Philippines Celebrates Earth Day and Environmental Awareness Month this April 2022,"Monday, April 25, 2022",Miragel Jan G,Garden at Sitel Baguio Site 1. Photo courtesy of Pearlani Duran.`
"MAXLearn: April 25 to 29, 2022",https://everconnect.foundever.com/everconnect/Article/Article/8205774,Check out these bite-size learning and inspirational content curated by our PH Leadership ...,"Monday, April 25, 2022",Rafael C,null
Nomad Prize in Contemporary Art,https://everconnect.foundever.com/everconnect/Article/Article/7582118,Read about the upcoming N...,"Monday, April 25, 2022",Benjamin H,null
Short Tutorial: How to submit an Agent SKEP in iCoach,https://everconnect.foundever.com/everconnect/Article/Article/8218232,Watch this short Tutorial on how to submit an Agent SKEP in iCoach.,"Wednesday, May 11, 2022",Maria M,null
Security Awareness Training 2022: You Are Now Enrolled in the Annual Training,https://everconnect.foundever.com/everconnect/Article/Article/8169601,"Training Deadline for English: June 24, 2022
Training Deadline for Deutsch, Spanish, Chine...","Tuesday, August 2, 2022",Rebecca S,"On April 25, we launched the 2022 Sitel Group Security Awareness Training. This training supports the organization’s commitment to security as well as your critical role in maintaining secure practices. Training will be delivered through MyAcademy for legacy Sitel Group employees and the LEARN platform for legacy SYKES employees. The training aims to satisfy our regulatory and compliance obligations required of our total employee population. It is important to ensure basic security hygiene is a part of our regular day-to-day conversations and leaders need to hold their teams accountable for the completion and acknowledgment of this training."
MAXConnect Dashboard Update Week 16,https://everconnect.foundever.com/everconnect/Article/Article/8218676,A weekly update where we take a look at the latest figures from the MAXConnect Dashboard,"Monday, April 25, 2022",Benjamin H,null
Short Tutorial: How to submit a Coach SKEP in iCoach,https://everconnect.foundever.com/everconnect/Article/Article/8219128,"Welcome to this short tutorial about Coach SKEP in iCoach. Here, you will find the steps t...","Wednesday, May 11, 2022",Maria M,null
MAXBot Integration in iCoach,https://everconnect.foundever.com/everconnect/Article/Article/8225745,Now you can also receive virtual assistance for MAXBot in iCoach. Read more about this int...,"Tuesday, May 10, 2022",Maria M,null
Sitel® Philippines is Looking for an HR Organizational Development Manager,https://everconnect.foundever.com/everconnect/Article/Article/8240542,"Do you consider our associates' engagement a serious business? 
Can you design people prog...","Wednesday, April 27, 2022",Rafael C,"HR Organization Development Manager is responsible for strategic transformation and implementation of best practices that will improve employee experience. This critical role manages projects that will impact people, programs and processes of the organization."
Sitel® Philippines is Looking for an HR Organizational Development Supervisor,https://everconnect.foundever.com/everconnect/Article/Article/8240474,Do you believe happy associates lead to happy customers? Got ideas on how we can turn the ...,"Tuesday, April 26, 2022",Rafael C,"HR Organization Development Senior Specialist will support strategic transformation and implementation of best practices that will improve employee experience. This role will also ensure continuous improvement and action planning on key process related to employee experience, rewards and recognition and employee survey."
May Wellbeing Calendar,https://everconnect.foundever.com/everconnect/Article/Article/8273385,"Discover and apply some healthy tips, nudges, and suggestions to keep you going through Ma...","Wednesday, May 4, 2022",Dimiter P,"As we head into a new season, you'll also be wondering how time is flying so fast! May is also an excellent time to start taking stock of how your year is going and what you want to achieve for the rest of it."
Sitel® Palawan is Looking for  Applicants for these Open Positions,https://everconnect.foundever.com/everconnect/Article/Article/8278601,We are looking for associates who could fill the open positions above in Palawan. Do you h...,"Wednesday, April 27, 2022",Rafael C,BASIC POSITION QUALIFICATIONS
EverBetter Dashboard,https://everconnect.foundever.com/everconnect/Article/Article/8665184,All EverBetter data in one place!,"Wednesday, March 1, 2023",Dimiter P,The dashboard will be updated on a monthly basis with the latest data concerning the previous month.
Sitel® Eton is Looking for an Operations Manager,https://everconnect.foundever.com/everconnect/Article/Article/8667273,"Are you a strategic thinker who can deliver on client's expectations, as well as a coach w...","Tuesday, May 10, 2022",Rafael C,QUALIFICATIONS
New Account Goes Live in Technopoint (Manila),https://everconnect.foundever.com/everconnect/Article/Article/8671920,Project Go-Live Announcement from the Project Management Office - APAC (ePMO),"Tuesday, May 10, 2022",Rafael C,
Concur Training - Drop-In Sessions,https://everconnect.foundever.com/everconnect/Article/Article/8682608,There will be six sessions across regions the week of May 9 and May 16.,"Thursday, July 21, 2022",Rebecca S,*All times are Central Standard Time (CST).
MAXBot Update 11/05/22,https://everconnect.foundever.com/everconnect/Article/Article/8701928,Check out the latest update on everything MAXBot!,"Thursday, July 7, 2022",Benjamin H,Number of positive feedbacks: 27
Teleperformance Competitor Overview,https://everconnect.foundever.com/everconnect/Article/Article/8704702,The Sitel Research and BI Team has released the latest competitor overview for internal us...,"Thursday, September 1, 2022",Mihail M,Download the full report from the GrowthCenter 🖱
SitelFit in April,https://everconnect.foundever.com/everconnect/Article/Article/8704751,Let's take a look at what we achieved together in April 2022.,"Friday, May 13, 2022",Dimiter P,
Three Exercises for Good Body Posture,https://everconnect.foundever.com/everconnect/Article/Article/8713723,"Andreas Kakaros, our trainer and SitelFit wellbie at our Athens MAXhub, is giving you 3 ex...","Friday, May 13, 2022",Dimiter P,"Andreas Kakaros, our trainer and SitelFit wellbie at our Athens MAXhub, is giving you 3 exercises to improve your body posture. You will only need a light resistance band for the first two exercises. Keep in mind that you have to activate your back on a daily basis for a good body posture without injuries."
Sitel® Tarlac Newsletter - May 2022,https://everconnect.foundever.com/everconnect/Article/Article/8710623,"Here we talk about what's up at Sitel ® Tarlac, our upcoming activities, important reminde...","Thursday, May 12, 2022",Rafael C,"As a part of our ongoing improvements to make Sitel® Tarlac the best place to work and succeed, my leadership team has been working tirelessly, listening to your feedback, and have come up with meaningful activities that promote engagement at the workplace both from a physical and mental wellness standpoint."
Application for Process Improvement Program Manager (PIPM) Track Trainee Now Open,https://everconnect.foundever.com/everconnect/Article/Article/8665239,he Continuous Improvement team is excited to announce that we are opening the position for...,"Wednesday, May 11, 2022",Ailena Marie M,The Continuous Improvement team is excited to announce that we are opening the position for Process Improvement Program Manager (PIPM) Track Trainee.
Security Awareness Training 2022 FAQs,https://everconnect.foundever.com/everconnect/Article/Article/8169688,Learn more about the Security Awareness Training.,"Wednesday, May 11, 2022",Rebecca S,This training is mandatory for all current Sitel Group® employees and new hires; this includes agents and non-agents.
EX - GEX Analyst,https://everconnect.foundever.com/everconnect/Article/Article/8679676,The GEX Analyst links people measures and outcome insight with process or experience desig...,"Tuesday, August 2, 2022",Rebecca S,"Analyzer
Analyzers are sticklers for details and will gather all the relevant facts before making a decision. The only thing more important to them than being heard is making sure they're right. Analyzers tend to be thorough, intense, focused, and thoughtful."
SitelFit Weekly Challenges (May: Week 4),https://everconnect.foundever.com/everconnect/Article/Article/9082941,Join the new SitelFit challenges this week for a healthier body and mind!,"Tuesday, May 24, 2022",Dimiter P,null
Update Your Vaccination Status in the Armor Tool,https://everconnect.foundever.com/everconnect/Article/Article/9086189,Applicable for onsite and WAH Legacy SYKES associates only,"Monday, May 23, 2022",Rafael C,1. Log into the Armor Tool via website (https://hero.sykes.com/armor/home/login) or mobile app (My Apps > ARMOR).
#MoveWell 2022: Total Body Workout II,https://everconnect.foundever.com/everconnect/Article/Article/9088550,Here's another training session for the whole body designed by Andreas Kakaros,"Tuesday, May 24, 2022",Dimiter P,"Andreas Kakaros, the personal trainer at our MAXhub in Athens, Greece, demonstrates a 30-minute total body workout that hits all major muscle groups and makes you feel like a champion!"
Join the Managing Return-to-Office Transition Webinar,https://everconnect.foundever.com/everconnect/Article/Article/9088947,Learn more about the different return-to-office anxieties that affect the routine of your ...,"Monday, May 23, 2022",Rafael C,"Session 1: Wed, May 25 | 4 p.m."
#MoveWell 2022: Champeta Dance Class with Sitel® Colombia,https://everconnect.foundever.com/everconnect/Article/Article/9089042,Learn the basics of one of the most popular dances in Colombia.,"Tuesday, May 24, 2022",Dimiter P,"Champeta is a musical genre and dance that originated on the Caribbean coast of Colombia in the early 1980s. The rhythms and influences are said to have arrived with the sailors from West Africa in the 1960s and 70s. It was originally known as Colombian Therapy and composers from African descendants lived predominantly in Cartagena and Palenque de San Basilio, and later Barranquilla. In the 1970s Champeta culture began to develop into dance moves and incorporated different rhythms including salsa, gibber, and reggae. In the 1990s Champeta began to change, introducing digital technology and placas (interruptions) into the music."
Join the Show Up with Pride Contest,https://everconnect.foundever.com/everconnect/Article/Article/9094274,"This Pride Month, we want to know how you show up. Share your stories and ideas with us an...","Thursday, May 26, 2022",Rafael C,"We dream of a world where people are free to express themselves in whatever way they want, and love anyone they choose to, without fear of being harmed. But that won’t happen with us just dreaming it up – we have to show up! By showing up, we mean committing to a goal, putting in the hours, calling out prejudices, and helping others out.  This Pride Month, we want to know how you show up. Share your stories and ideas with us and get a chance to win a prize!"
1.Interview with Onboarding Specialists,https://everconnect.foundever.com/everconnect/Article/Article/8626834,Interview with Onboarding...,"Thursday, June 9, 2022",Eilin C,null
2. Workshop Service Blueprint: Current Onboarding Process,https://everconnect.foundever.com/everconnect/Article/Article/9038685,Based on the recently hir...,"Friday, June 17, 2022",Eilin C,null
3. Workshop UK & Portugal ONLY!: The New Onboarding Process,https://everconnect.foundever.com/everconnect/Article/Article/9038757,Based on the recently hir...,"Thursday, June 9, 2022",Eilin C,null
1. Interviews with New Agents in Sitel,https://everconnect.foundever.com/everconnect/Article/Article/9038623,This is a 1:1 interview a...,"Tuesday, June 21, 2022",Eilin C,null
Internet Explorer 11 No Longer Supported,https://everconnect.foundever.com/everconnect/Article/Article/9109438,"Internet Explorer 11 reaches its end of support from Microsoft on June 15, 2022","Monday, May 30, 2022",Gloria I,Internet Explorer 11 No Longer Supported
3. Journey Map - Agent onboarding experience,https://everconnect.foundever.com/everconnect/Article/Article/8626538,Creating together a Journ...,"Tuesday, June 7, 2022",Eilin C,null
SitelFit Weekly Challenges (June: Week 1),https://everconnect.foundever.com/everconnect/Article/Article/9334771,Join the new SitelFit challenges this week for a healthier body and mind!,"Tuesday, June 7, 2022",Dimiter P,null
Navigating the MAXConnect App,https://everconnect.foundever.com/everconnect/Article/Article/9179469,A guide to help you download and use the MAXConnect App.,"Thursday, December 29, 2022",Benjamin H,null
"Relax, There's Help: 3 Ways to Help You Quit Smoking",https://everconnect.foundever.com/everconnect/Article/Article/9339959,You can kick the habit of smoking for good. It just takes careful planning and help from y...,"Wednesday, June 1, 2022",Rafael C,"How do you relax? If you’re like the 15.9 million Filipino adults today, then you probably deal with stress by smoking. It’s easy to tell why smoking is a popular stress relief: nicotine, a substance present in cigarettes, causes the brain to release a hormone called dopamine in just eight seconds. Dopamine makes you feel relaxed and pleasured, a state which your body seeks repeatedly."
Account Moves from Pioneer 1 to Eton,https://everconnect.foundever.com/everconnect/Article/Article/9341055,Project Migration Announcement from the Project Management Office - APAC (ePMO),"Monday, May 30, 2022",Rafael C,"Congratulations to Capital One upon completing their migration from Pioneer 1 to Eton this May 23, 2022. They are all now consolidated in their new home at Eton together with the other existing Capital One Operations Team. Enjoy your new home!"
"Celebrate Pride, Join Our Local & Global Activities",https://everconnect.foundever.com/everconnect/Article/Article/9340710,June is Pride Month - a global celebration and movement to support and raise awareness for...,"Wednesday, June 1, 2022",Ailena Marie M,"Check out global & local activities in celebration of Pride Month! It's time to Be Bold, Be Proud: Show Up With Pride! 🏳️‍🌈🏳️‍🌈🏳️‍🌈"
The Harms of Tobacco,https://everconnect.foundever.com/everconnect/Article/Article/9342965,Tobacco is harming far more than just our health.,"Tuesday, June 7, 2022",Dimiter P,"Smoking isn’t just harmful to human health, it’s also damaging the planet."
Clubs: Discover the New Feature of the United Heroes App by SitelFit,https://everconnect.foundever.com/everconnect/Article/Article/9344360,Meet colleagues from all around the world who share the same passion as you.,"Tuesday, June 21, 2022",Dimiter P,"The United Heroes application by SitelFit has a new feature - Clubs. It allows users to meet and exchange updates, tips, and personal achievements with other co-workers about their favorite wellness activities. The new feature lets members from all teams across the world join and connect around common interests to encourage and inspire each other on their #OneSmallChange journey."
MAXConnect Dashboard Update Week 21,https://everconnect.foundever.com/everconnect/Article/Article/9360905,A weekly update where we take a look at the latest figures from the MAXConnect Dashboard,"Wednesday, July 27, 2022",Benjamin H,null
SitelFit Around the World: Welcome to Africa,https://everconnect.foundever.com/everconnect/Article/Article/9374365,Check out the latest episode of our globe-trotting series for wellbies.,"Tuesday, June 7, 2022",Dimiter P,"In this episode of our ""SitelFit Around the World"" series for wellbies we visited and explored the wellness culture of Sitel Group® in Africa. The webinar was hosted by our Wellbie Coordinator in Africa Jalila Saissi Hassani. Jalila is in charge of the SitelFit program in all four Sitel Group countries in Africa: Morocco, Senegal, the Ivory Coast, and Egypt."
How to Minimize Weight Gain After Quitting Smoking,https://everconnect.foundever.com/everconnect/Article/Article/9379049,Here are some reasons why we may gain weight after quitting smoking and what you can do to...,"Tuesday, June 7, 2022",Dimiter P,"We all know that quitting smoking is always the right step for our long-term health, but in the short term, it may not feel like it. Not only can recent ex-smokers experience the ""quitter's flu"" of nicotine withdrawal headaches and fatigue, but they can also begin gaining weight quickly."
Watch the  How to Show Up with Pride LinkedIn Live on June 2,https://everconnect.foundever.com/everconnect/Article/Article/9392035,Let's kick off this meaningful celebration with a discussion on how we can create a cultur...,"Tuesday, May 31, 2022",Rafael C,"June is Pride Month – a global celebration and movement to support and raise awareness for the LGBTQ+ community. Like its official symbol, the rainbow flag, Pride Month is bold, lively and colorful."
iCoach for Site / Business Unit Director,https://everconnect.foundever.com/everconnect/Article/Article/5816946,iCoach offers Site Directors / Business Unit Directors an integral and robust overview of ...,"Wednesday, January 11, 2023",Maria M,null
SitelFit June Program,https://everconnect.foundever.com/everconnect/Article/Article/9474020,June is Mental Wellness Month in SitelFit.,"Friday, June 17, 2022",Dimiter P,"Remember, no matter what happens, you are the sky. Everything else is just the weather."
Know Your Benefits Fridays: Bringing Financial Power at Work,https://everconnect.foundever.com/everconnect/Article/Article/9479214,"June 3, Friday. 5 p.m. and 10 p.m.","Friday, June 3, 2022",Rafael C,"For more information, contact Renante Saturno at renante.saturno@sitel.com."
World Bicycle Day 2022,https://everconnect.foundever.com/everconnect/Article/Article/9462341,Let's move more and move better for a healthier life and a cleaner planet!,"Thursday, June 16, 2022",Dimiter P,June 3 was officially declared World Bicycle Day by the General Assembly of the United Nations in April 2018. This year marks the fifth anniversary of the celebration.
A Day In the Life of a Coach: How Will You Connect With Your Team Today?,https://everconnect.foundever.com/everconnect/Article/Article/9447523,Sitel Group® is designing a program for coaches and their teams to help maximize the value...,"Monday, June 27, 2022",Gloria I,"Now that Work from Anywhere (WFA) is our reality, it is essential that we connect and interact with our associates every day. Associates crave authentic, personal, human connections. Daily interactions and coaching play a critical role in building that connection. Afterall, this is the foundation to building trust in relationships and goal alignment."
Unlock Your Growth: Complete Your SuccessFactors Profile,https://everconnect.foundever.com/everconnect/Article/Article/9249815,Unlock your growth and complete your profile to 100% to maximize your career opportunities...,"Tuesday, August 9, 2022",Gloria I,
EC Bites and EC-er Bites: June 2022,https://everconnect.foundever.com/everconnect/Article/Article/9517644,Boost  your workplace intelligence with these learning resources.,"Monday, June 6, 2022",Rafael C,null
Associate Advisory | How to Generate a Certificate of Employment in SuccessFactors (FAQ and Job Aide),https://everconnect.foundever.com/everconnect/Article/Article/7046490,We provide you here an FAQ on the process and a step-by-step job aide on generating the CO...,"Friday, June 3, 2022",Rafael C,null
Sitel Supplier Portal (powered by HICX Solutions),https://everconnect.foundever.com/everconnect/Article/Article/8098295,Sitel Supplier Portal,"Monday, October 10, 2022",David A,null
The First SitelFit Buddy Challenge Launches Today,https://everconnect.foundever.com/everconnect/Article/Article/9560069,"This June, we challenge our SitelFit Buddies to make #OneSmallChange for their own and the...","Friday, June 17, 2022",Dimiter P,"We all know the physical benefits of exercise well enough – lower blood pressure, better endurance, bigger, stronger, or more efficient muscles, and possibly even a slimmer physique. But have you ever stopped to think about what it can do for our brains?"
Comparably Awards Q2 2022,https://everconnect.foundever.com/everconnect/Article/Article/9183573,"Next round of Comparably Awards will be announced soon, take the survey!","Tuesday, August 23, 2022",Gergana A,"Hello everyone,"
SitelFit Weekly Challenges (June: Week 2),https://everconnect.foundever.com/everconnect/Article/Article/9562873,Join the new SitelFit challenges this week for a healthier body and mind!,"Tuesday, June 28, 2022",Dimiter P,null
MAX CRM: Logging in & The Basics,https://everconnect.foundever.com/everconnect/Article/Article/9466656,An introductory look into the MAX CRM platform,"Friday, December 9, 2022",Benjamin H,null
Announcing Sitel Group® and Skillsets Online Partnership,https://everconnect.foundever.com/everconnect/Article/Article/9631535,"Effective immediately we have partnered with Skillsetonline, an online platform where you ...","Tuesday, June 7, 2022",Gloria I,"Dear IT Team,"
Salesforce Integration 2022: FAQs,https://everconnect.foundever.com/everconnect/Article/Article/9622756,Learn more about the Salesforce integration between legacy Sitel Group and legacy SYKES.,"Wednesday, July 27, 2022",Rebecca S,null
Salesforce Integration Project 2022,https://everconnect.foundever.com/everconnect/Article/Article/9623017,Legacy SYKES Salesforce Data to Integrate into Sitel Group Salesforce Instance by June 30,"Wednesday, July 27, 2022",Rebecca S,"Dear Salesforce users,"
Associate Advisory | Increase in PhilHealth Contribution for 2022 (LSYKES),https://everconnect.foundever.com/everconnect/Article/Article/9650496,Please be advised of the new premium rate for PhilHealth contribution for the year 2022.,"Wednesday, June 8, 2022",Ailena Marie M,"To: Legacy SYKES Associates in the Philippines
From: HR Benefits Administration Team
Date: June 8, 2022
Subject: Increase in PhilHealth Contribution for 2022"
Associate Advisory | Increase in PhilHealth Contribution for 2022 (LSitel),https://everconnect.foundever.com/everconnect/Article/Article/9650897,Please be advised of the new premium rate for PhilHealth contribution for the year 2022.,"Wednesday, June 8, 2022",Ailena Marie M,"To: Legacy Sitel Group® Associates in the Philippines
From: HR Benefits Administration Team
Date: June 8, 2022
Subject: Increase in PhilHealth Contribution for 2022"
Create a Circle Today Test,https://everconnect.foundever.com/everconnect/Article/Article/9654298,Enjoy a holistic #SitelLife experience with your Circle,"Wednesday, June 8, 2022",Rafael C,KNOW MORE VIA MAXCONNECT:
Sitel®  Alabang Town Center is Looking for Coaches,https://everconnect.foundever.com/everconnect/Article/Article/9663959,Do you have a knack for motivating people? Can you guide a team of tech support associates...,"Wednesday, June 8, 2022",Dave B,QUALIFICATIONS
"🌈 Be Bold, Be Proud: Show Your Pride in 2022",https://everconnect.foundever.com/everconnect/Article/Article/8999456,"June is Pride Month, a global celebration and movement to support and raise awareness abou...","Thursday, June 16, 2022",Rebecca S,"June is Pride Month – a global celebration and movement to support and raise awareness for the LGBTQ+ community. Like its official symbol, the rainbow flag, Pride Month is bold, lively and colorful."
IT Advisory Update - Office 365 (O365) Migration Project Is Coming,https://everconnect.foundever.com/everconnect/Article/Article/9674994,O365 Migration Begins in Next Few Weeks,"Monday, August 1, 2022",Gloria I,IT Advisory – O365 Migration Begins in Next Few Weeks
You Can Now Nominate Yourself For the CXperts Challenge,https://everconnect.foundever.com/everconnect/Article/Article/9660477,"If you think you have what it takes to become the next CXpert, then you can go ahead and n...","Thursday, June 9, 2022",Rafael C,"As a customer service associate, you are the voice to our clients’ customers. Whether you’re on the phone, emailing or chatting, we challenge you to personally connect with each customer."
Celebrating Success in Project Management: Go-live Announcements,https://everconnect.foundever.com/everconnect/Article/Article/9151364,Take a peak into how we will celebrate go-live announcements going forward.,"Thursday, June 9, 2022",Johnathan C,"With the MAX Experience and a truly Global PMO team in mind, we are happy to announce that all go-live announcements will now be exclusively posted in our PMO community portal."
"Kabarkada Summer Referral Promo - Refer  Applicants and Win  Up to Php 50,000",https://everconnect.foundever.com/everconnect/Article/Article/9703391,"Get a chance to win a vacation package or Php50,000 cash!","Thursday, June 9, 2022",Rafael C,null
Talent Accelerator May 2022 Session: Leadership of Tomorrow Masterclass,https://everconnect.foundever.com/everconnect/Article/Article/9956302,"Kathi Enderes, Vice President of research at the Josh Bersin Academy, was a keynote speake...","Thursday, July 21, 2022",Gloria I,"Kathi spoke to the group about how management philosophies have evolved over time, providing foundations, examples of improved collaboration and the importance of inspiring your team and organization every day. A recent study from The Josh Bersin Company, emphasized the importance of power skills in leaders. Every worker brings something different to the table and having a human centered leadership can tap into each talent’s potential."
Join the Lip Sync Battle,https://everconnect.foundever.com/everconnect/Article/Article/9898126,"Gather your group and lip sync for your life! In celebration of Pride, we are opening this...","Thursday, June 16, 2022",Ailena Marie M,"Our Pride Celebration isn't over yet! Form a group and join this contest. Be Bold, Be Proud!"
Organizational Announcement - New Senior Director of Operations,https://everconnect.foundever.com/everconnect/Article/Article/9971173,Cris is a seasoned BPO professional with more than two decades of experience in Operations...,"Thursday, June 16, 2022",Miragel Jan G,"To: All Sitel® PH Associates
From: Ian Zafra, Vice President for Operations
Date: June 16, 2022
Subject: Organizational Announcement – New Senior Director of Operations"
#LiveWell 2022: Emotional Intelligence,https://everconnect.foundever.com/everconnect/Article/Article/9972224,Click here to learn more and replay the full session.,"Tuesday, August 9, 2022",Dimiter P,In the latest episode of our #LiveWell 2022 Series - dedicated to mental health and wellbeing in the workplace – we put the focus on the topic of emotional intelligence.
Global Challenge for Charity 2022 Kick-Off,https://everconnect.foundever.com/everconnect/Article/Article/10012135,Learn more about our big global SitelFit challenge in July.,"Friday, June 17, 2022",Dimiter P,July is traditionally the time when we have our global challenge for charity sponsored by SitelFit. Find out all you need to know about it in the recording of the kick-off session with the global wellbie community.
Congratulations to the Winners of Dadspeak,https://everconnect.foundever.com/everconnect/Article/Article/9993354,"Thank you for making us laugh by sharing your dads' favorite jokes or ""words of wisdom"".","Friday, June 17, 2022",Rafael C,"To claim your prize, please email the information below  to rafael.canete@sitel.com:"
Organizational Announcement - New General Counsel - EMEA,https://everconnect.foundever.com/everconnect/Article/Article/10033368,"David Grimes Becomes New General Counsel - EMEA, In Addition to His Current Global Privacy...","Tuesday, August 9, 2022",Rebecca S,I am pleased to announce that David Grimes is stepping into the new role of General Counsel – EMEA and remains the Head of Global Privacy for the entire group.
Project Management Office - APAC Plants Tree Seedlings in Baguio City,https://everconnect.foundever.com/everconnect/Article/Article/10089348,The activity is an effort to  lessen the effects of climate change.,"Monday, June 20, 2022",Rafael C,Climate change and its global effects are accelerating. So it is urgent for each nation and each organization to advance with risk mitigation.
"Want to Win Php10,000? Get a Chance by Verifying Your Advance Account",https://everconnect.foundever.com/everconnect/Article/Article/10090571,Promo runs until July 17,"Monday, June 20, 2022",Rafael C,
"MAXLearn: June 20 to 24, 2022",https://everconnect.foundever.com/everconnect/Article/Article/10030863,Check out these bite-size learning and inspirational content curated by our PH Leadership ...,"Monday, June 20, 2022",Rafael C,null
How the Pride Festival Made An Associate Embrace His Identity,https://everconnect.foundever.com/everconnect/Article/Article/10086747,Someone in the parade encouraged him to  live without pretentions,"Monday, June 20, 2022",Rafael C,Peps Fermin is a coach apprentice at Sitel® Tarlac.
Concentrix Competitor Overview,https://everconnect.foundever.com/everconnect/Article/Article/10095303,The Sitel Research and BI Team has released the latest competitor overview for internal us...,"Tuesday, June 28, 2022",Kristina S,Download the full report from the GrowthCenter 🖱
Utilities Industry Overview,https://everconnect.foundever.com/everconnect/Article/Article/10153413,The Sitel Research and BI Team has released the latest industry overview for internal use....,"Tuesday, June 28, 2022",Kristina S,"The report features an external perspective of the latest industry trends, including:"
Global Security Operations: Highlighting the Penetration Testing Team,https://everconnect.foundever.com/everconnect/Article/Article/10050700,Learn more about Foundever's Penetration Testing team,"Wednesday, March 1, 2023",Cheri B,"Cybersecurity is incredibly important to Foundever, especially with the rise of hacking in our digital world. Hacking has evolved greatly as digital environments become more and more integral to the global business community."
